index,LOCATION,SUBJECT,MEASURE,TIME,Value
14170,TZA,SOYBEAN,TONNE_HA,1997,0.345454541
18666,TUR,SOYBEAN,THND_HA,2018,46.69556461
1621,MOZ,RICE,TONNE_HA,1991,0.349532723
7285,IND,RICE,THND_HA,2023,43247.39251
12223,CHN,MAIZE,THND_HA,1990,21401.0
14800,PHL,MAIZE,THND_TONNE,2020,8006.068541
6409,TZA,WHEAT,THND_TONNE,2006,110.0
4510,RUS,WHEAT,THND_HA,2007,24382.0
3298,WLD,RICE,THND_TONNE,2008,457439.7485
19743,ISR,MAIZE,THND_TONNE,2020,8.857202608
15292,ZAF,SOYBEAN,THND_HA,2012,517.0
5647,ZMB,WHEAT,THND_TONNE,2000,75.0
12968,MEX,MAIZE,THND_TONNE,2019,24798.28063
5631,RUS,WHEAT,THND_TONNE,2020,59156.65072
6225,NGA,RICE,THND_HA,2002,2185.000059
19858,BGD,MAIZE,THND_HA,1991,3.0
10399,CAN,SOYBEAN,THND_TONNE,1994,2253.7
10952,SAU,SOYBEAN,THND_TONNE,2010,0.0009
15189,WLD,MAIZE,THND_TONNE,2017,1041295.392
18800,JPN,SOYBEAN,THND_HA,2008,147.1
6246,NGA,RICE,THND_HA,2023,2761.51323
16139,ETH,MAIZE,THND_HA,1995,1718.000013
8396,URY,RICE,THND_HA,1993,135.9999996
5446,URY,RICE,THND_TONNE,2015,977.27
8195,CAN,WHEAT,THND_HA,2003,10214.5
18521,ZMB,MAIZE,THND_TONNE,2017,3085.674068
11143,NOR,SOYBEAN,TONNE_HA,2021,0.0
483,USA,RICE,TONNE_HA,2005,5.184481091
3846,CHL,RICE,THND_TONNE,2020,114.4670055
11456,WLD,SOYBEAN,THND_TONNE,2015,318373.318
1315,IND,WHEAT,TONNE_HA,2009,2.907177925
7110,AUS,RICE,THND_TONNE,2023,849.2718209
13915,NOR,SOYBEAN,THND_TONNE,1994,0.0
7745,KOR,RICE,THND_HA,2015,799.344
9831,OECD,WHEAT,THND_HA,2002,76342.79793
1576,MYS,RICE,TONNE_HA,2018,2.750270877
11219,EGY,MAIZE,THND_TONNE,2025,6889.156689
15259,URY,MAIZE,TONNE_HA,2015,4.313559532
5227,KOR,WHEAT,THND_HA,2012,9.467
16592,KOR,SOYBEAN,THND_HA,1996,97.989
7791,BRICS,RICE,THND_HA,2025,75626.53437
19499,CHN,SOYBEAN,TONNE_HA,1992,1.089474453
13049,MYS,SOYBEAN,THND_HA,1992,0.003
1989,PHL,RICE,TONNE_HA,1999,1.959810615
6385,DZA,WHEAT,THND_HA,2018,2000.058347
7944,PER,WHEAT,THND_TONNE,1999,170.0
17257,IND,SOYBEAN,THND_HA,2013,11800.0
13765,ETH,SOYBEAN,THND_HA,2024,7.244100508
13600,NGA,SOYBEAN,THND_HA,2003,587.0
15405,PER,SOYBEAN,THND_TONNE,2017,5.000463505
