iter	RMSE
0	43560.80183
1	37047.2416
2	33337.59753
3	31104.69821
4	29495.90998
5	27785.37176
6	26867.25548
7	25518.40572
8	25019.2427
9	23882.09473
10	23085.74032
11	22579.50559
12	22001.94721
13	21724.37321
14	21256.991
15	21041.99613
16	20804.80663
17	20395.03649
18	20174.74006
19	19794.80928
20	19477.00012
21	19224.25695
22	19080.46222
23	18833.72009
24	18708.41164
25	18565.90057
26	18242.42553
27	18152.31771
28	17598.25927
29	17500.74504
30	17425.82406
31	17354.52434
32	17236.36865
33	17173.65654
34	17109.92719
35	17074.50721
36	17043.68564
37	16896.61449
38	16843.86412
39	16807.71452
40	16764.15173
41	16677.06589
42	16595.58482
43	16576.27786
44	16542.37978
45	16519.63776
46	16463.518
47	16430.754
48	16314.62113
49	16296.28284
50	16279.83114
51	16265.88518
52	16239.67955
53	16216.28321
54	16125.0267
55	16087.09981
56	16071.04452
57	16044.27349
58	15983.49424
59	15980.34173
60	15952.04234
61	15932.30022
62	15919.09831
63	15905.19835
64	15889.06156
65	15870.02606
66	15824.38891
67	15811.29142
68	15797.66834
69	15787.54524
70	15677.97349
71	15667.2392
72	15645.52186
73	15392.87702
74	15383.02824
75	15373.62561
76	15366.89949
77	15348.78497
78	15185.78888
79	15178.94753
80	15172.48033
81	15166.53877
82	15159.77296
83	15154.47061
84	15136.73559
85	15126.03149
86	15121.74985
87	15116.52615
88	15104.97141
89	15085.36941
90	14919.51086
91	14895.15764
92	14883.4442
93	14880.84811
94	14869.76338
95	14858.27852
96	14848.86783
97	14804.20128
98	14733.14459
99	14703.64399
100	14679.38199
101	14658.88868
102	14648.54959
103	14637.78472
104	14633.61337
105	14623.98436
106	14615.62752
107	14608.08082
108	14602.40118
109	14595.48743
110	14565.94446
111	14538.44067
112	14516.73223
113	14512.46637
114	14509.1902
115	14503.40517
116	14498.74309
117	14493.94038
118	14478.81395
119	14469.34768
120	14460.15603
121	14454.28373
122	14450.88308
123	14447.68907
124	14442.86461
125	14440.24406
126	14437.61613
127	14411.24581
128	14408.13312
129	14402.55316
130	14396.75774
131	14392.5047
132	14390.7998
133	14387.44231
134	14385.35966
135	14379.17143
136	14374.01885
137	14370.33042
138	14310.50076
139	14305.09879
140	14302.0181
141	14299.98723
142	14293.53784
143	14274.66176
144	14269.58803
145	14261.10712
146	14257.37662
147	14253.69148
148	14246.5862
149	14243.90392
150	14240.27497
151	14237.81726
152	14232.7882
153	14224.36537
154	14218.64126
155	14216.09309
156	14182.46457
157	14179.93677
158	14127.71833
159	14121.96664
160	14104.98511
161	14100.1308
162	14089.36701
163	14086.7214
164	14086.21556
165	14084.31502
166	14078.03165
167	14075.41027
168	14067.3655
169	14056.40863
170	14051.03408
171	14042.88933
172	14034.51803
173	14030.98666
174	14029.56777
175	14022.40117
176	14015.20242
177	14013.38256
178	14008.2363
179	14001.81385
180	13998.04339
181	13985.09228
182	13982.6798
183	13980.60199
184	13977.31976
185	13972.75135
186	13966.40782
187	13959.35288
188	13955.31499
189	13946.38222
190	13937.77966
191	13932.51569
192	13931.4378
193	13926.90735
194	13924.51384
195	13921.65317
196	13920.32551
197	13913.46261
198	13909.02405
199	13907.1245
