iter	Passed	Remaining
0	7	7614
1	13	6633
2	19	6498
3	27	6890
4	34	6827
5	40	6639
6	46	6591
7	52	6497
8	57	6368
9	64	6377
10	70	6346
11	76	6305
12	83	6345
13	88	6258
14	94	6209
15	100	6165
16	105	6099
17	111	6084
18	116	6017
19	121	5961
20	128	6010
21	134	5985
22	139	5944
23	145	5932
24	150	5883
25	156	5845
26	163	5875
27	168	5842
28	173	5820
29	180	5831
30	186	5833
31	193	5857
32	199	5840
33	204	5809
34	211	5819
35	216	5802
36	222	5793
37	228	5777
38	233	5756
39	240	5769
40	245	5751
41	251	5733
42	257	5729
43	262	5703
44	267	5676
45	273	5675
46	278	5654
47	284	5633
48	290	5631
49	295	5618
50	302	5622
51	307	5611
52	313	5608
53	320	5620
54	326	5607
55	331	5589
56	336	5572
57	341	5554
58	346	5533
59	353	5536
60	358	5516
61	365	5523
62	370	5515
63	376	5502
64	384	5527
65	390	5527
66	397	5529
67	402	5519
68	408	5511
69	414	5509
70	420	5496
71	425	5483
72	431	5480
73	436	5467
74	442	5455
75	448	5454
76	454	5445
77	460	5444
78	464	5418
79	470	5405
80	475	5393
81	481	5389
82	486	5377
83	492	5372
84	498	5367
85	504	5361
86	510	5361
87	516	5350
88	521	5340
89	527	5338
90	533	5328
91	538	5313
92	544	5308
93	549	5299
94	555	5293
95	560	5281
96	566	5271
97	573	5278
98	578	5265
99	584	5258
100	592	5274
101	598	5273
102	606	5281
103	612	5277
104	617	5261
105	623	5259
106	629	5250
107	635	5245
108	640	5236
109	646	5227
110	652	5225
111	658	5218
112	662	5198
113	668	5196
114	673	5185
115	678	5169
116	685	5175
117	691	5169
118	697	5163
119	702	5152
120	708	5148
121	714	5143
122	720	5135
123	725	5124
124	731	5118
125	736	5108
126	741	5098
127	748	5095
128	753	5086
129	758	5078
130	764	5073
131	770	5063
132	775	5057
133	782	5056
134	788	5049
135	793	5043
136	800	5040
137	805	5033
138	811	5026
139	817	5019
140	822	5011
141	828	5004
142	833	4993
143	838	4982
144	844	4980
145	849	4971
146	854	4960
147	860	4954
148	866	4946
149	870	4935
150	876	4929
151	881	4919
152	887	4910
153	893	4906
154	898	4899
155	903	4889
156	909	4883
157	914	4874
158	920	4866
159	926	4862
160	931	4854
161	936	4846
162	942	4839
163	947	4830
164	953	4823
165	958	4817
166	963	4808
167	969	4803
168	975	4794
169	980	4784
170	986	4784
171	992	4778
172	998	4772
173	1005	4774
174	1011	4767
175	1017	4764
176	1023	4757
177	1028	4748
178	1034	4742
179	1039	4734
180	1044	4726
181	1050	4721
182	1055	4714
183	1061	4705
184	1066	4700
185	1072	4691
186	1077	4682
187	1082	4677
188	1088	4672
189	1094	4665
190	1101	4663
191	1106	4654
192	1111	4645
193	1116	4639
194	1121	4629
195	1126	4621
196	1132	4615
197	1137	4606
198	1142	4598
199	1148	4593
200	1153	4586
201	1159	4578
202	1164	4571
203	1169	4562
204	1176	4560
205	1181	4555
206	1188	4553
207	1194	4548
208	1199	4540
209	1204	4532
210	1212	4532
211	1217	4525
212	1223	4519
213	1228	4513
214	1235	4509
215	1241	4504
216	1246	4497
217	1251	4489
218	1258	4486
219	1263	4479
220	1268	4472
221	1274	4465
222	1279	4457
223	1284	4449
224	1290	4445
225	1296	4439
226	1301	4430
227	1306	4424
228	1311	4416
229	1317	4409
230	1323	4405
231	1329	4399
232	1334	4393
233	1340	4387
234	1345	4379
235	1350	4373
236	1355	4365
237	1361	4358
238	1367	4353
239	1372	4347
240	1378	4339
241	1385	4340
242	1391	4333
243	1397	4329
244	1403	4324
245	1409	4318
246	1415	4313
247	1420	4307
248	1426	4301
249	1432	4296
250	1437	4288
251	1442	4280
252	1448	4277
253	1454	4270
254	1459	4262
255	1464	4256
256	1469	4248
257	1474	4241
258	1481	4237
259	1486	4232
260	1492	4225
261	1497	4218
262	1503	4212
263	1508	4205
264	1513	4197
265	1518	4189
266	1523	4182
267	1529	4177
268	1534	4170
269	1539	4163
270	1545	4157
271	1550	4150
272	1556	4143
273	1561	4137
274	1566	4130
275	1572	4124
276	1577	4118
277	1582	4111
278	1590	4109
279	1595	4103
280	1602	4100
281	1608	4096
282	1649	4178
283	1656	4175
284	1662	4171
285	1670	4170
286	1677	4166
287	1682	4159
288	1690	4158
289	1696	4153
290	1702	4147
291	1707	4140
292	1713	4135
293	1720	4130
294	1725	4123
295	1731	4117
296	1737	4112
297	1743	4106
298	1749	4100
299	1754	4093
300	1759	4086
301	1765	4080
302	1770	4073
